trojan,vmess,shadowsocks
90412.0,72766.0,86917.0
90903.0,72805.0,87359.0
90534.0,85947.0,87929.0
115101.0,73205.0,88672.0
90835.0,72852.0,87920.0
90499.0,73355.0,87469.0
233512.0,73122.0,87333.0
90584.0,72345.0,88673.0
90236.0,87130.0,86869.0
90606.0,73510.0,88057.0
90643.0,72189.0,87542.0
90803.0,72806.0,87314.0
90691.0,72905.0,221724.0
90599.0,85617.0,87648.0
90608.0,85916.0,87209.0
90285.0,86706.0,87280.0
90338.0,72628.0,87660.0
91020.0,73141.0,87720.0
90668.0,85378.0,87329.0
90642.0,72736.0,88595.0
196713.0,72756.0,87020.0
90632.0,73296.0,87775.0
235820.0,85198.0,86995.0
90354.0,73968.0,87647.0
90974.0,86625.0,86997.0
90062.0,85839.0,87243.0
90305.0,72805.0,87351.0
91140.0,73308.0,87314.0
90481.0,72603.0,87395.0
90743.0,73045.0,87131.0
90617.0,72244.0,87225.0
91193.0,72771.0,87400.0
90630.0,87022.0,87324.0
90532.0,86797.0,87409.0
90931.0,72491.0,87238.0
90780.0,72767.0,87454.0
91531.0,85635.0,87566.0
90120.0,85720.0,88406.0
91007.0,85803.0,87588.0
90525.0,85646.0,87186.0
90530.0,85521.0,87225.0
90609.0,85187.0,87001.0
234076.0,72517.0,87504.0
90937.0,73229.0,87369.0
198162.0,85451.0,87038.0
90975.0,73164.0,87061.0
91349.0,87157.0,88067.0
235096.0,72690.0,86795.0
90426.0,87014.0,88678.0
234675.0,72482.0,87294.0
90726.0,85542.0,86620.0
90662.0,85149.0,87268.0
90719.0,72831.0,87723.0
90369.0,73741.0,88067.0
90520.0,86744.0,87333.0
90763.0,72783.0,87211.0
233704.0,73570.0,87544.0
90279.0,85990.0,88101.0
140792.0,85429.0,87312.0
90855.0,72891.0,86977.0
90008.0,85640.0,87401.0
90718.0,72857.0,87540.0
90859.0,72832.0,87613.0
90896.0,72663.0,87199.0
90878.0,72817.0,87531.0
90598.0,73073.0,87553.0
90458.0,72582.0,86904.0
90700.0,72866.0,237983.0
159031.0,72826.0,87470.0
90422.0,85351.0,87335.0
90665.0,72540.0,87328.0
90681.0,72798.0,87446.0
133813.0,73008.0,87520.0
90400.0,85545.0,87397.0
234404.0,85259.0,88234.0
90359.0,72796.0,87447.0
90765.0,72818.0,86858.0
96559.0,85515.0,87202.0
90793.0,85503.0,87426.0
90396.0,85138.0,91051.0
90914.0,72816.0,87662.0
90630.0,73205.0,87389.0
233514.0,72652.0,87339.0
90128.0,85481.0,87093.0
90444.0,85096.0,86830.0
90177.0,72804.0,87652.0
234273.0,72734.0,86789.0
90249.0,72562.0,88216.0
90745.0,85502.0,87319.0
90274.0,90994.0,87035.0
240871.0,85679.0,87320.0
90521.0,73348.0,87516.0
233600.0,72804.0,87104.0
90170.0,86821.0,87317.0
91477.0,72442.0,87402.0
90715.0,72711.0,87358.0
90538.0,85777.0,87461.0
90826.0,73334.0,87168.0
90052.0,73344.0,139900.0
234324.0,72756.0,87488.0
90460.0,85286.0,87688.0
234565.0,72709.0,87474.0
234039.0,85852.0,87553.0
165324.0,85715.0,87440.0
90212.0,85561.0,88328.0
90620.0,73429.0,87114.0
90723.0,73143.0,139597.0
90596.0,72317.0,87525.0
90443.0,72567.0,87334.0
233952.0,86023.0,87439.0
121793.0,86072.0,87229.0
233309.0,73447.0,87695.0
90471.0,85885.0,87185.0
90303.0,73353.0,86634.0
234872.0,73144.0,87301.0
91109.0,86010.0,88445.0
90432.0,72595.0,87156.0
90586.0,87374.0,87175.0
115673.0,72743.0,87098.0
90816.0,85426.0,87629.0
90816.0,72852.0,87551.0
90599.0,85198.0,87512.0
90525.0,72843.0,87563.0
90427.0,72226.0,87347.0
90785.0,85166.0,86672.0
90663.0,73000.0,87578.0
90681.0,85551.0,87927.0
90367.0,85250.0,87334.0
165043.0,85665.0,87149.0
90271.0,85994.0,87000.0
233590.0,74023.0,87164.0
90538.0,85647.0,87510.0
90599.0,72790.0,87616.0
90463.0,85775.0,88579.0
97149.0,85551.0,87886.0
240364.0,72562.0,86589.0
171592.0,85556.0,87561.0
90497.0,87340.0,87378.0
90511.0,72570.0,87984.0
233709.0,72265.0,87205.0
90380.0,85747.0,87387.0
90402.0,73235.0,87585.0
235284.0,72758.0,86884.0
90223.0,220160.0,87142.0
90325.0,72541.0,87011.0
90135.0,85807.0,87348.0
190381.0,73059.0,87342.0
91035.0,87152.0,87726.0
90541.0,72765.0,88084.0
90435.0,72483.0,87223.0
90657.0,85196.0,87463.0
90072.0,72817.0,87251.0
90908.0,73356.0,87205.0
235309.0,72765.0,88140.0
90480.0,72767.0,87134.0
234719.0,72844.0,87127.0
90528.0,85359.0,87638.0
96117.0,73474.0,87023.0
90270.0,72385.0,87809.0
90240.0,85558.0,87225.0
90983.0,85324.0,86598.0
234041.0,72028.0,87187.0
90699.0,85525.0,87316.0
90203.0,85823.0,87297.0
90202.0,72843.0,87392.0
90802.0,85491.0,87000.0
234914.0,85671.0,90509.0
90583.0,72482.0,86901.0
91059.0,72865.0,87090.0
90853.0,85060.0,87293.0
91103.0,72802.0,87004.0
90857.0,86051.0,87128.0
90092.0,85929.0,87544.0
90369.0,87150.0,86984.0
90230.0,85369.0,86993.0
90533.0,72848.0,87478.0
90641.0,85639.0,86995.0
234622.0,85458.0,87312.0
90436.0,85245.0,87608.0
90955.0,72860.0,87370.0
90721.0,72780.0,87063.0
90861.0,72476.0,87023.0
90711.0,85307.0,87278.0
90784.0,72854.0,87425.0
90786.0,72965.0,87189.0
90316.0,85103.0,87469.0
89918.0,73144.0,87545.0
234214.0,72661.0,87018.0
90560.0,85141.0,88030.0
90573.0,73177.0,87170.0
91736.0,85944.0,87335.0
233608.0,85347.0,87836.0
90457.0,85704.0,87415.0
90949.0,72736.0,87191.0
91015.0,72833.0,87561.0
234349.0,85786.0,87313.0
90923.0,72682.0,87580.0
90688.0,85795.0,87438.0
90217.0,85257.0,87517.0
90741.0,72628.0,87099.0
221101.0,85368.0,87569.0
234092.0,72840.0,86976.0
90980.0,73467.0,86806.0
90640.0,85476.0,86898.0
89198.0,85340.0,87195.0
108511.0,85654.0,87998.0
90175.0,85635.0,87019.0
88991.0,86781.0,87174.0
89648.0,85863.0,86878.0
89149.0,87263.0,87298.0
88783.0,72742.0,87560.0
91503.0,71931.0,87277.0
89258.0,73723.0,87828.0
89528.0,73081.0,87703.0
89597.0,72534.0,136693.0
88959.0,72566.0,86456.0
89715.0,72694.0,105771.0
89920.0,72770.0,86739.0
89870.0,72819.0,112013.0
89512.0,72634.0,87191.0
89421.0,72571.0,124276.0
88976.0,73141.0,105202.0
89082.0,72790.0,86570.0
88959.0,85414.0,149139.0
89420.0,72748.0,149526.0
89834.0,213992.0,156217.0
215969.0,85342.0,87117.0
90154.0,72817.0,86857.0
89289.0,85265.0,86891.0
89059.0,85471.0,86526.0
89828.0,85840.0,86622.0
212385.0,85580.0,87756.0
109427.0,85644.0,87186.0
88948.0,85601.0,86688.0
89445.0,86989.0,136267.0
114423.0,85707.0,87038.0
90319.0,85456.0,86726.0
89428.0,85707.0,86793.0
107653.0,85537.0,136363.0
89277.0,85721.0,86916.0
89613.0,209872.0,92513.0
89114.0,85449.0,162055.0
90378.0,85416.0,92966.0
89352.0,85993.0,150470.0
89215.0,85531.0,86895.0
52768.0,85877.0,87116.0
88707.0,85658.0,230010.0
90013.0,85903.0,86988.0
102767.0,85514.0,148861.0
88813.0,88541.0,86518.0
89310.0,85808.0,163057.0
89548.0,85316.0,155314.0
89032.0,85753.0,86919.0
88847.0,85354.0,86889.0
89267.0,87130.0,167824.0
89852.0,86014.0,86933.0
88749.0,85750.0,86598.0
89547.0,85674.0,86533.0
88974.0,86198.0,86562.0
89434.0,85781.0,86829.0
212387.0,85727.0,136163.0
89302.0,86067.0,74521.0
4813.0,203812.0,75133.0
85133.0,85693.0,230565.0
4721.0,85569.0,161918.0
4665.0,209502.0,86820.0
4689.0,85702.0,168020.0
4781.0,86362.0,148900.0
4781.0,85870.0,86648.0
4665.0,203744.0,86882.0
4717.0,85581.0,86986.0
4721.0,85613.0,86698.0
4781.0,85539.0,86480.0
4721.0,85297.0,86770.0
4741.0,85703.0,143405.0
4677.0,85575.0,136769.0
90422.0,85204.0,86886.0
89473.0,85579.0,87483.0
89314.0,85613.0,155659.0
89390.0,86535.0,130565.0
89646.0,85683.0,74586.0
89594.0,85366.0,86852.0
89790.0,85949.0,86990.0
89088.0,85589.0,87091.0
88802.0,86303.0,150143.0
89153.0,85897.0,87090.0
89177.0,85277.0,87523.0
90836.0,87235.0,149008.0
89698.0,85550.0,86886.0
89742.0,85471.0,86552.0
89714.0,86386.0,86731.0
89070.0,87161.0,86965.0
89635.0,85352.0,86822.0
89273.0,86965.0,86904.0
89257.0,85453.0,86882.0
91330.0,85595.0,87072.0
89303.0,85344.0,86816.0
89468.0,85663.0,86706.0
88889.0,85732.0,149325.0
90081.0,85147.0,86996.0
89198.0,85737.0,123849.0
89357.0,85059.0,86964.0
89409.0,85559.0,143065.0
89374.0,85535.0,143971.0
89506.0,85779.0,143740.0
89444.0,85776.0,123983.0
89389.0,86418.0,87607.0
